date,value
2015-4-24 12:15,7228
2015-4-24 12:20,6452
2015-4-24 12:25,5809
2015-4-24 12:30,7912
2015-4-24 12:35,6973
2015-4-24 12:40,7552
2015-4-24 12:45,8632
2015-4-24 12:50,7944
2015-4-24 12:55,7488
2015-4-24 13:00,7399
2015-4-24 13:05,6701
2015-4-24 13:10,6735
2015-4-24 13:15,7313
2015-4-24 13:20,7595
2015-4-24 13:25,8155
2015-4-24 13:30,7205
2015-4-24 13:35,7767
2015-4-24 13:40,9436
2015-4-24 13:45,9931
2015-4-24 13:50,12291
2015-4-24 13:55,11019
2015-4-24 14:00,10397
2015-4-24 14:05,9839
2015-4-24 14:10,9509
2015-4-24 14:15,8598
2015-4-24 14:20,8737
2015-4-24 14:25,12278
2015-4-24 14:30,8790
2015-4-24 14:35,8920
2015-4-24 14:40,9121
2015-4-24 14:45,9433
2015-4-24 14:50,10196
2015-4-24 14:55,9352
2015-4-24 15:00,9136
2015-4-24 15:05,8638
2015-4-24 15:10,8666
2015-4-24 15:15,8975
2015-4-24 15:20,8147
2015-4-24 15:25,8795
2015-4-24 15:30,9198
2015-4-24 15:35,9015
2015-4-24 15:40,9436
2015-4-24 15:45,10029
2015-4-24 15:50,11554
2015-4-24 15:55,10807
2015-4-24 16:00,10042
2015-4-24 16:05,10219
2015-4-24 16:10,10772
2015-4-24 16:15,9447
2015-4-24 16:20,9785
2015-4-24 16:25,9203
2015-4-24 16:30,10155
2015-4-24 16:35,9268
2015-4-24 16:40,9360
2015-4-24 16:45,9226
2015-4-24 16:50,11017
2015-4-24 16:55,9648
2015-4-24 17:00,9418
2015-4-24 17:05,9280
2015-4-24 17:10,8498
2015-4-24 17:15,8754
2015-4-24 17:20,8263
2015-4-24 17:25,10003
2015-4-24 17:30,9863
2015-4-24 17:35,9780
2015-4-24 17:40,9104
2015-4-24 17:45,10384
2015-4-24 17:50,11441
2015-4-24 17:55,10349
2015-4-24 18:00,10207
2015-4-24 18:05,9509
2015-4-24 18:10,8867
2015-4-24 18:15,10822
2015-4-24 18:20,8577
2015-4-24 18:25,8477
2015-4-24 18:30,8248
2015-4-24 18:35,8551
2015-4-24 18:40,7959
2015-4-24 18:45,7934
2015-4-24 18:50,9296
2015-4-24 18:55,7593
2015-4-24 19:00,7430
2015-4-24 19:05,7554
2015-4-24 19:10,6669
2015-4-24 19:15,5926
2015-4-24 19:20,5518
2015-4-24 19:25,6462
2015-4-24 19:30,6273
2015-4-24 19:35,6155
2015-4-24 19:40,5727
2015-4-24 19:45,5127
2015-4-24 19:50,6688
2015-4-24 19:55,5547
2015-4-24 20:00,4875
2015-4-24 20:05,4543
2015-4-24 20:10,4709
2015-4-24 20:15,4397
2015-4-24 20:20,3584
2015-4-24 20:25,3160
2015-4-24 20:30,3008
2015-4-24 20:35,3447
2015-4-24 20:40,3193
2015-4-24 20:45,2977
2015-4-24 20:50,5236
2015-4-24 20:55,3564
2015-4-24 21:00,3295
2015-4-24 21:05,2807
2015-4-24 21:10,2997
2015-4-24 21:15,3053
2015-4-24 21:20,2726
2015-4-24 21:25,3876
2015-4-24 21:30,4313
2015-4-24 21:35,4240
2015-4-24 21:40,5844
2015-4-24 21:45,4295
2015-4-24 21:50,5416
2015-4-24 21:55,3756
2015-4-24 22:00,3759
2015-4-24 22:05,3567
2015-4-24 22:10,3364
2015-4-24 22:15,3014
2015-4-24 22:20,2580
2015-4-24 22:25,2437
2015-4-24 22:30,2343
2015-4-24 22:35,2193
2015-4-24 22:40,1979
2015-4-24 22:45,2254
2015-4-24 22:50,3544
2015-4-24 22:55,2340
2015-4-24 23:00,2246
2015-4-24 23:05,2157
2015-4-24 23:10,2224
2015-4-24 23:15,4623
2015-4-24 23:20,5464
2015-4-24 23:25,3179
2015-4-24 23:30,2378
2015-4-24 23:35,2430
2015-4-24 23:40,2844
2015-4-24 23:45,2626
2015-4-24 23:50,4076
2015-4-24 23:55,3089
2015-4-25 0:00,2708
2015-4-25 0:05,2479
2015-4-25 0:10,2418
2015-4-25 0:15,2300
2015-4-25 0:20,2061
2015-4-25 0:25,1951
2015-4-25 0:30,1924
2015-4-25 0:35,2246
2015-4-25 0:40,2207
2015-4-25 0:45,2321
2015-4-25 0:50,3666
2015-4-25 0:55,2658
2015-4-25 1:00,2145
2015-4-25 1:05,1882
2015-4-25 1:10,2111
2015-4-25 1:15,2027
2015-4-25 1:20,2016
2015-4-25 1:25,3557
2015-4-25 1:30,3719
2015-4-25 1:35,3670
2015-4-25 1:40,3452
2015-4-25 1:45,3056
2015-4-25 1:50,4270
2015-4-25 1:55,3279
2015-4-25 2:00,3252
2015-4-25 2:05,2658
2015-4-25 2:10,2812
2015-4-25 2:15,2712
2015-4-25 2:20,2241
2015-4-25 2:25,1907
2015-4-25 2:30,1919
2015-4-25 2:35,2922
2015-4-25 2:40,2404
2015-4-25 2:45,2174
2015-4-25 2:50,3414
2015-4-25 2:55,2405
2015-4-25 3:00,2091
2015-4-25 3:05,1930
2015-4-25 3:10,2115
2015-4-25 3:15,2247
2015-4-25 3:20,1958
2015-4-25 3:25,2876
2015-4-25 3:30,2871
2015-4-25 3:35,3231
2015-4-25 3:40,3232
2015-4-25 3:45,2772
2015-4-25 3:50,4374
2015-4-25 3:55,3390
2015-4-25 4:00,2721
2015-4-25 4:05,2660
2015-4-25 4:10,2838
2015-4-25 4:15,2825
2015-4-25 4:20,2146
2015-4-25 4:25,2148
2015-4-25 4:30,1922
2015-4-25 4:35,1912
2015-4-25 4:40,1899
2015-4-25 4:45,1902
2015-4-25 4:50,3454
2015-4-25 4:55,2482
2015-4-25 5:00,1761
2015-4-25 5:05,1916
2015-4-25 5:10,2417
2015-4-25 5:15,3064
2015-4-25 5:20,3150
2015-4-25 5:25,2952
2015-4-25 5:30,3405
2015-4-25 5:35,3206
2015-4-25 5:40,3568
2015-4-25 5:45,4552
2015-4-25 5:50,5952
2015-4-25 5:55,5009
2015-4-25 6:00,4820
2015-4-25 6:05,3919
2015-4-25 6:10,3498
2015-4-25 6:15,5110
2015-4-25 6:20,3695
2015-4-25 6:25,2699
2015-4-25 6:30,3434
2015-4-25 6:35,5101
2015-4-25 6:40,3384
2015-4-25 6:45,3069
2015-4-25 6:50,4009
2015-4-25 6:55,3310
2015-4-25 7:00,2985
2015-4-25 7:05,2633
2015-4-25 7:10,2590
2015-4-25 7:15,3303
2015-4-25 7:20,3817
2015-4-25 7:25,6216
2015-4-25 7:30,5358
2015-4-25 7:35,4516
2015-4-25 7:40,4593
2015-4-25 7:45,3647
2015-4-25 7:50,5660
2015-4-25 7:55,5254
2015-4-25 8:00,4043
2015-4-25 8:05,3120
2015-4-25 8:10,3274
2015-4-25 8:15,2820
2015-4-25 8:20,3116
2015-4-25 8:25,2496
2015-4-25 8:30,2377
2015-4-25 8:35,3557
2015-4-25 8:40,2581
2015-4-25 8:45,3249
2015-4-25 8:50,5066
2015-4-25 8:55,3042
2015-4-25 9:00,2606
2015-4-25 9:05,4014
2015-4-25 9:10,2998
2015-4-25 9:15,3025
2015-4-25 9:20,2860
2015-4-25 9:25,3844
2015-4-25 9:30,3633
2015-4-25 9:35,4806
2015-4-25 9:40,4219
2015-4-25 9:45,4434
2015-4-25 9:50,5288
2015-4-25 9:55,3915
2015-4-25 10:00,3990
2015-4-25 10:05,4053
2015-4-25 10:10,4294
2015-4-25 10:15,3537
2015-4-25 10:20,3234
2015-4-25 10:25,3274
2015-4-25 10:30,3297
2015-4-25 10:35,3103
2015-4-25 10:40,2965
2015-4-25 10:45,4745
2015-4-25 10:50,5460
2015-4-25 10:55,3784
2015-4-25 11:00,3665
2015-4-25 11:05,3305
2015-4-25 11:10,3022
2015-4-25 11:15,3000
2015-4-25 11:20,2639
2015-4-25 11:25,3853
2015-4-25 11:30,4319
2015-4-25 11:35,3993
2015-4-25 11:40,4047
2015-4-25 11:45,4216
2015-4-25 11:50,5335
2015-4-25 11:55,4193
2015-4-25 12:00,3765
2015-4-25 12:05,3307
2015-4-25 12:10,2843
2015-4-25 12:15,2773
2015-4-25 12:20,2346
2015-4-25 12:25,3133
2015-4-25 12:30,3104
2015-4-25 12:35,3124
2015-4-25 12:40,2876
2015-4-25 12:45,2567
2015-4-25 12:50,4075
2015-4-25 12:55,2899
2015-4-25 13:00,2774
2015-4-25 13:05,2545
2015-4-25 13:10,2629
2015-4-25 13:15,3417
2015-4-25 13:20,3018
2015-4-25 13:25,4780
2015-4-25 13:30,4855
2015-4-25 13:35,4862
2015-4-25 13:40,5421
2015-4-25 13:45,5323
2015-4-25 13:50,5445
2015-4-25 13:55,4739
2015-4-25 14:00,4949
2015-4-25 14:05,5548
2015-4-25 14:10,5353
2015-4-25 14:15,4636
2015-4-25 14:20,5077
2015-4-25 14:25,4634
2015-4-25 14:30,3996
2015-4-25 14:35,3688
2015-4-25 14:40,2967
2015-4-25 14:45,3173
2015-4-25 14:50,4229
2015-4-25 14:55,3173
2015-4-25 15:00,3550
2015-4-25 15:05,3033
2015-4-25 15:10,2892
2015-4-25 15:15,2893
2015-4-25 15:20,2595
2015-4-25 15:25,4444
2015-4-25 15:30,4601
2015-4-25 15:35,5039
2015-4-25 15:40,4777
2015-4-25 15:45,4584
2015-4-25 15:50,5680
2015-4-25 15:55,4052
2015-4-25 16:00,4500
2015-4-25 16:05,3914
2015-4-25 16:10,4362
2015-4-25 16:15,5741
2015-4-25 16:20,4836
2015-4-25 16:25,3505
2015-4-25 16:30,3046
2015-4-25 16:35,3559
2015-4-25 16:40,3841
2015-4-25 16:45,4377
2015-4-25 16:50,4158
2015-4-25 16:55,4628
2015-4-25 17:00,8001
2015-4-25 17:05,4802
2015-4-25 17:10,4101
2015-4-25 17:15,2763
2015-4-25 17:20,4762
2015-4-25 17:25,7363
2015-4-25 17:30,5916
2015-4-25 17:35,5512
2015-4-25 17:40,7149
2015-4-25 17:45,5210
2015-4-25 17:50,5891
2015-4-25 17:55,4683
2015-4-25 18:00,5484
2015-4-25 18:05,5187
2015-4-25 18:10,4675
2015-4-25 18:15,4202
2015-4-25 18:20,2916
2015-4-25 18:25,3533
2015-4-25 18:30,3684
2015-4-25 18:35,3495
2015-4-25 18:40,2850
2015-4-25 18:45,2450
2015-4-25 18:50,3738
2015-4-25 18:55,2962
2015-4-25 19:00,2516
2015-4-25 19:05,2187
2015-4-25 19:10,2277
2015-4-25 19:15,2422
2015-4-25 19:20,2185
2015-4-25 19:25,3317
2015-4-25 19:30,3632
2015-4-25 19:35,3391
2015-4-25 19:40,3258
2015-4-25 19:45,2801
2015-4-25 19:50,4650
2015-4-25 19:55,3358
2015-4-25 20:00,3485
2015-4-25 20:05,3911
2015-4-25 20:10,3605
2015-4-25 20:15,3301
2015-4-25 20:20,2916
2015-4-25 20:25,2977
2015-4-25 20:30,2452
2015-4-25 20:35,2272
2015-4-25 20:40,2264
2015-4-25 20:45,2533
2015-4-25 20:50,3638
2015-4-25 20:55,2241
2015-4-25 21:00,2443
2015-4-25 21:05,2099
2015-4-25 21:10,2262
2015-4-25 21:15,2181
2015-4-25 21:20,2164
2015-4-25 21:25,3194
2015-4-25 21:30,2814
2015-4-25 21:35,3048
2015-4-25 21:40,3740
2015-4-25 21:45,3137
2015-4-25 21:50,4535
2015-4-25 21:55,3089
2015-4-25 22:00,2870
2015-4-25 22:05,2685
2015-4-25 22:10,2539
2015-4-25 22:15,2425
2015-4-25 22:20,2427
2015-4-25 22:25,2367
2015-4-25 22:30,1973
2015-4-25 22:35,1926
2015-4-25 22:40,2188
2015-4-25 22:45,2180
2015-4-25 22:50,3524
2015-4-25 22:55,2170
2015-4-25 23:00,2063
2015-4-25 23:05,2097
2015-4-25 23:10,1994
2015-4-25 23:15,2460
2015-4-25 23:20,2222
2015-4-25 23:25,3511
2015-4-25 23:30,3696
2015-4-25 23:35,3324
2015-4-25 23:40,3112
2015-4-25 23:45,2962
2015-4-25 23:50,4403
2015-4-25 23:55,3013
2015-4-26 0:00,2944
2015-4-26 0:05,3154
2015-4-26 0:10,3400
2015-4-26 0:15,2543
2015-4-26 0:20,2100
2015-4-26 0:25,2217
2015-4-26 0:30,1921
2015-4-26 0:35,1954
2015-4-26 0:40,1962
2015-4-26 0:45,2013
2015-4-26 0:50,3567
2015-4-26 0:55,2756
2015-4-26 1:00,2042
2015-4-26 1:05,1771
2015-4-26 1:10,2105
2015-4-26 1:15,2019
2015-4-26 1:20,1881
2015-4-26 1:25,3674
2015-4-26 1:30,3171
2015-4-26 1:35,3765
2015-4-26 1:40,3443
2015-4-26 1:45,3222
2015-4-26 1:50,4528
2015-4-26 1:55,3731
2015-4-26 2:00,2956
2015-4-26 2:05,3026
2015-4-26 2:10,3234
2015-4-26 2:15,2976
2015-4-26 2:20,2197
2015-4-26 2:25,2192
2015-4-26 2:30,1815
2015-4-26 2:35,1859
2015-4-26 2:40,2084
2015-4-26 2:45,1794
2015-4-26 2:50,3389
2015-4-26 2:55,2317
